id,subject_id,subject
1,4,Kementerian Keuangan
2,54,Lain-lain
3,54,Lain-lain
4,54,Lain-lain
5,54,Lain-lain
6,54,Lain-lain
7,54,Lain-lain
8,54,Lain-lain
9,54,Lain-lain
10,54,Lain-lain
11,54,Lain-lain
12,54,Lain-lain
13,54,Lain-lain
14,54,Lain-lain
15,54,Lain-lain
16,54,Lain-lain
17,54,Lain-lain
18,54,Lain-lain
19,54,Lain-lain
20,54,Lain-lain
21,54,Lain-lain
22,17,Jabatan Fungsional
23,54,Lain-lain
24,54,Lain-lain
25,54,Lain-lain
26,54,Lain-lain
27,54,Lain-lain
28,54,Lain-lain
29,54,Lain-lain
30,54,Lain-lain
31,54,Lain-lain
32,54,Lain-lain
33,54,Lain-lain
34,54,Lain-lain
35,54,Lain-lain
36,54,Lain-lain
37,54,Lain-lain
38,54,Lain-lain
39,54,Lain-lain
40,54,Lain-lain
41,54,Lain-lain
42,54,Lain-lain
43,31,Apbn
44,54,Lain-lain
45,54,Lain-lain
46,54,Lain-lain
47,54,Lain-lain
48,54,Lain-lain
49,54,Lain-lain
50,54,Lain-lain
51,54,Lain-lain
52,54,Lain-lain
53,54,Lain-lain
54,54,Lain-lain
55,54,Lain-lain
56,54,Lain-lain
57,49,Departemen Keuangan
58,54,Lain-lain
59,54,Lain-lain
60,54,Lain-lain
61,54,Lain-lain
62,54,Lain-lain
63,54,Lain-lain
64,54,Lain-lain
65,54,Lain-lain
66,54,Lain-lain
67,54,Lain-lain
68,54,Lain-lain
69,54,Lain-lain
70,54,Lain-lain
71,54,Lain-lain
72,54,Lain-lain
73,54,Lain-lain
74,54,Lain-lain
75,54,Lain-lain
76,54,Lain-lain
77,54,Lain-lain
78,54,Lain-lain
79,54,Lain-lain
80,54,Lain-lain
81,54,Lain-lain
82,54,Lain-lain
83,54,Lain-lain
84,54,Lain-lain
85,54,Lain-lain
86,54,Lain-lain
87,54,Lain-lain
88,54,Lain-lain
89,54,Lain-lain
90,54,Lain-lain
91,54,Lain-lain
92,54,Lain-lain
93,54,Lain-lain
94,4,Kementerian Keuangan
95,54,Lain-lain
96,54,Lain-lain
97,54,Lain-lain
98,8,Kendaraan Bermotor
99,54,Lain-lain
100,2,Penerimaan Negara Bukan Pajak
101,54,Lain-lain
102,54,Lain-lain
103,54,Lain-lain
104,54,Lain-lain
105,54,Lain-lain
106,54,Lain-lain
107,54,Lain-lain
108,54,Lain-lain
109,54,Lain-lain
110,54,Lain-lain
111,54,Lain-lain
112,54,Lain-lain
113,54,Lain-lain
114,54,Lain-lain
115,54,Lain-lain
116,54,Lain-lain
117,54,Lain-lain
118,54,Lain-lain
119,54,Lain-lain
120,54,Lain-lain
121,54,Lain-lain
122,54,Lain-lain
123,54,Lain-lain
124,54,Lain-lain
125,54,Lain-lain
126,54,Lain-lain
127,54,Lain-lain
128,54,Lain-lain
129,54,Lain-lain
130,54,Lain-lain
131,54,Lain-lain
132,54,Lain-lain
133,54,Lain-lain
134,54,Lain-lain
135,54,Lain-lain
136,54,Lain-lain
137,54,Lain-lain
138,54,Lain-lain
139,54,Lain-lain
140,54,Lain-lain
141,54,Lain-lain
142,54,Lain-lain
143,54,Lain-lain
144,54,Lain-lain
145,54,Lain-lain
146,54,Lain-lain
147,54,Lain-lain
148,54,Lain-lain
149,54,Lain-lain
150,54,Lain-lain
151,54,Lain-lain
152,54,Lain-lain
153,54,Lain-lain
154,54,Lain-lain
155,54,Lain-lain
156,54,Lain-lain
157,54,Lain-lain
158,54,Lain-lain
159,54,Lain-lain
160,54,Lain-lain
161,54,Lain-lain
162,54,Lain-lain
163,54,Lain-lain
164,54,Lain-lain
165,54,Lain-lain
166,54,Lain-lain
167,54,Lain-lain
168,54,Lain-lain
169,54,Lain-lain
170,54,Lain-lain
171,54,Lain-lain
172,54,Lain-lain
173,54,Lain-lain
174,54,Lain-lain
175,54,Lain-lain
176,54,Lain-lain
177,54,Lain-lain
178,54,Lain-lain
179,54,Lain-lain
180,54,Lain-lain
181,54,Lain-lain
182,54,Lain-lain
183,54,Lain-lain
184,54,Lain-lain
185,54,Lain-lain
186,54,Lain-lain
187,54,Lain-lain
188,54,Lain-lain
189,54,Lain-lain
190,54,Lain-lain
191,54,Lain-lain
192,54,Lain-lain
193,54,Lain-lain
194,54,Lain-lain
195,2,Penerimaan Negara Bukan Pajak
196,54,Lain-lain
197,54,Lain-lain
198,54,Lain-lain
199,54,Lain-lain
200,24,Pertanggungjawaban
201,54,Lain-lain
202,54,Lain-lain
203,54,Lain-lain
204,54,Lain-lain
205,54,Lain-lain
206,54,Lain-lain
207,54,Lain-lain
208,17,Jabatan Fungsional
209,54,Lain-lain
210,54,Lain-lain
211,54,Lain-lain
212,54,Lain-lain
213,54,Lain-lain
214,54,Lain-lain
215,54,Lain-lain
